id,annual_usage,min_order_quantity,bracket_pricing,quantity,quote_year,cost
1,0,0,Yes,1,0.349829185880456,21.9059330191461
2,0,0,Yes,2,0.349829185880456,12.3412139792904
3,0,0,Yes,5,0.349829185880456,6.60182614356538
4,0,0,Yes,10,0.349829185880456,4.6877695119712
5,0,0,Yes,25,0.349829185880456,3.54156118026073
6,0,0,Yes,50,0.349829185880456,3.22440644770007
7,0,0,Yes,100,0.349829185880456,3.08252143576504
8,0,0,Yes,250,0.349829185880456,2.99905966403855
9,0,0,Yes,1,0.349829185880456,21.9727024365273
10,0,0,Yes,2,0.349829185880456,12.4079833966715
11,0,0,Yes,5,0.349829185880456,6.66859556094657
12,0,0,Yes,10,0.349829185880456,4.75453892935239
13,0,0,Yes,25,0.349829185880456,3.60833059764193
14,0,0,Yes,50,0.349829185880456,3.29117586508126
15,0,0,Yes,100,0.349829185880456,3.14929085314623
16,0,0,Yes,250,0.349829185880456,3.06582908141974
17,0,0,Yes,1,0.349829185880456,28.3742203279491
18,0,0,Yes,2,0.349829185880456,16.5143025656149
19,0,0,Yes,5,0.349829185880456,9.3977954964028
20,0,0,Yes,10,0.349829185880456,7.02748117937048
21,0,0,Yes,25,0.349829185880456,5.60306694190504
22,0,0,Yes,50,0.349829185880456,5.19410426044524
23,0,0,Yes,100,0.349829185880456,5.00770630358941
24,0,0,Yes,250,0.349829185880456,4.89642394128743
25,0,0,Yes,1,0.349829185880456,22.4150498266777
26,0,0,Yes,2,0.349829185880456,12.8503307868219
27,0,0,Yes,5,0.349829185880456,7.11372501015452
28,0,0,Yes,10,0.349829185880456,5.19966837856034
29,0,0,Yes,25,0.349829185880456,4.05067798779232
30,0,0,Yes,50,0.349829185880456,3.73630531428921
31,0,0,Yes,100,0.349829185880456,3.59442030235418
32,0,0,Yes,250,0.349829185880456,3.51095853062769
33,50,1,No,1,-7.5262991648928,10.0042843709486
34,0,0,Yes,1,0.349829185880456,21.9949589089877
35,0,0,Yes,2,0.349829185880456,12.4302398691319
36,0,0,Yes,5,0.349829185880456,6.69085203340696
37,0,0,Yes,10,0.349829185880456,4.77957746087034
38,0,0,Yes,25,0.349829185880456,3.63058707010232
39,0,0,Yes,50,0.349829185880456,3.31621439659921
40,0,0,Yes,100,0.349829185880456,3.17432938466418
41,0,0,Yes,250,0.349829185880456,3.08808555388014
42,1,1,No,1,0.724882916869659,3.4330608770163
43,1,1,No,1,-0.400278276097949,8.5631777791379
44,0,0,Yes,1,0.349829185880456,20.9349944080613
45,0,0,Yes,2,0.349829185880456,11.3702753682055
46,0,0,Yes,5,0.349829185880456,5.63366959153809
47,0,0,Yes,10,0.349829185880456,3.71961295994391
48,0,0,Yes,25,0.349829185880456,2.57340462823345
49,0,0,Yes,50,0.349829185880456,2.25624989567278
50,0,0,Yes,100,0.349829185880456,2.11436488373775
51,0,0,Yes,250,0.349829185880456,2.03090311201126
52,0,0,Yes,1,0.349829185880456,20.7819811598961
53,0,0,Yes,2,0.349829185880456,11.2172621200403
54,0,0,Yes,5,0.349829185880456,5.47787428431531
55,0,0,Yes,10,0.349829185880456,3.56659971177868
56,0,0,Yes,25,0.349829185880456,2.41760932101067
57,0,0,Yes,50,0.349829185880456,2.10323664750755
58,0,0,Yes,100,0.349829185880456,1.96135163557252
59,0,0,Yes,250,0.349829185880456,1.87788986384603
60,30,1,No,1,-7.1512454339036,2.73754611262888
61,3,0,Yes,5,-0.400278276097949,16.7090466996433
62,3,0,Yes,10,-0.400278276097949,10.1517335009988
63,2,0,Yes,2,-3.77576185500077,25.0190571045442
64,2,0,Yes,4,-3.77576185500077,14.5863356387329
65,2,0,Yes,6,-3.77576185500077,11.1087618167958
66,2,0,Yes,8,-3.77576185500077,9.3699749058273
67,2,0,Yes,10,-3.77576185500077,8.32670275924617
68,2,0,Yes,12,-3.77576185500077,7.63118799485875
69,50,0,Yes,1,0.724882916869659,94.0252499680063
70,280,1,Yes,1,-7.1512454339036,4.82965452390623
71,50,0,Yes,6,0.724882916869659,22.6626530827996
72,50,0,Yes,10,0.724882916869659,16.9538678967077
73,50,0,Yes,20,0.724882916869659,11.676301864536
74,50,0,Yes,50,0.724882916869659,8.96935840154015
75,600,1,No,1,-6.77619170291439,1.56351719034292
76,15,1,No,1,-0.775332007087152,228.148317132476
77,10,1,No,1,-2.27554693104396,7.83427830605988
78,180,20,No,1,-1.15038573807635,2.94063642383
79,0,0,Yes,1,0.349829185880456,29.5593774864653
80,0,0,Yes,2,0.349829185880456,17.699459724131
81,0,0,Yes,5,0.349829185880456,10.582952654919
82,0,0,Yes,10,0.349829185880456,8.20985627882909
83,0,0,Yes,25,0.349829185880456,6.7882241004212
84,0,0,Yes,50,0.349829185880456,6.3792614189614
85,0,0,Yes,100,0.349829185880456,6.19286346210557
86,0,0,Yes,250,0.349829185880456,6.08158109980359
87,5,0,Yes,2,-2.65060066203317,38.7874673803575
